Order ;Genus;Species;Name_in_Upham;Taxonomy note;In_Upham;DNA_in_Upham;Clade_Colonization_Scenario_1;Clade_Colonization_Scenario_2;Status_Species;Additional_range_note;Extinct/Extant;Subspecies;Other_Names;Common_Name;Family;References;Extinction_References
Chiroptera;Chaerephon;leucogaster;NA;Not in Upham et al.;No;No;Chaerephon_leucogaster;Chaerephon_leucogaster;Non-endemic;Offshore African islands, Comoros;Extant;NA;Nyctinomous leucogaster;Grandidier's lesser free-tailed bat;Molossidae;"Goodman et al., 2010c; Naidoo et al., 2016; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Coleura;kibomalandy;Coleura kibomalandy;NA;Yes;Yes;Coleura_kibomalandy;Coleura_kibomalandy;Endemic;NA;Extant;NA;Coleura afra;Madagascar sheath-tailed bat;Emballonuridae;"Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Eidolon;dupreanum;Eidolon dupreanum;NA;Yes;Yes;Eidolon_dupreanum;Eidolon_dupreanum;Endemic;NA;Extant;NA;NA;Madagascar straw-coloured fruit bat;Pteropodidae;"Goodman, 2011; Cardiff & Jenkins, 2016; Goodman & Jungers, 2014";NA
Chiroptera;Laephotis;malagasyensis;Neoromicia malagasyensis;Generic rearrangement;Yes;Yes;Laephotis malagasyensis + robertsi;Laephotis malagasyensis + robertsi;Endemic;NA;Extant;NA;Eptesicus somalicus malagasyensis;Isalo Serotine;Vespertilionidae;"Monadjem et al., 2020; Goodman et al., 2015b; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Laephotis;matroka;Neoromicia matroka;Generic rearrangement;Yes;Yes;Laephotis_matroka;Laephotis_matroka;Endemic;NA;Extant;NA;Neoromicia capensis, Vespertilio matroka, Eptesicus matroka;Malagasy serotine;Vespertilionidae;"Goodman et al., 2015b; Monadjem et al., 2020; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Laephotis;robertsi;Neoromicia robertsi;Generic rearrangement;Yes;Yes;Laephotis malagasyensis + robertsi;Laephotis malagasyensis + robertsi;Endemic;NA;Extant;NA;Neoromicia malagasyensis, Neoromicia melckorum, Neoromicia capensis;Robert's serotine;Vespertilionidae;"Goodman, 2011; Goodman et al., 2015b; Monadjem et al., 2020; Cardiff & Jenkins, 2016";NA
Chiroptera;Macronycteris;besaoka;NA;NA;No;No;Macronycteris_besaoka_commersoni;Macronycteris_besaoka;Endemic;NA;Extinct;NA;NA;NA;Hipposideridae;"Goodman, 2011; Goodman et al., 2016; Alumbaugh et al., 2021; Goodman & Jungers, 2014";Samonds, 2007
Chiroptera;Macronycteris;commersoni;Hipposideros commersoni;Generic rearrangement;Yes;Yes;Macronycteris_besaoka_commersoni;Macronycteris_commersoni;Endemic;NA;Extant;NA;Hipposideros commersoni;Commerson's leaf-nosed bat;Hipposideridae;"Goodman, 2011; Foley et al., 2017; Cardiff & Jenkins, 2016; Reher et al., 2019";NA
Chiroptera;Macronycteris;cryptovalorona;NA;Not in Upham et al., new species;No;No;Macronycteris_cryptovalorona;Macronycteris_cryptovalorona;Endemic;NA;Extant;NA;NA;Madagascar cryptic leaf-nosed bat;Hipposideridae;"Goodman et al., 2016; Goodman et al., 2009";NA
Chiroptera;Miniopterus;aelleni;Miniopterus aelleni;NA;Yes;Yes;Miniopterus;Miniopterus main clade;Non-endemic;Comoros;Extant;NA;NA;Aellen's long-fingered bat;Miniopteridae;"Goodman et al., 2009; Christidis et al., 2014; Goodman et al., 2010c; Cardiff & Jenkins, 2016";NA
