Archipelago,Subfamily,Tribe,Genus,Species,Subspecies,Our_name,Native,Endemic,Extinct_extant,Phylo_available,Time_calibrated,Archipelago_clade,DAISIE_status,Sampled,Name_in_tree
Hawaii,Asteroideae,Astereae,Remya,montgomeryi,NA,Remya_montgomeryi,Native,Endemic,Extant,Yes_clade,Not_dated,Remya,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Argyroxiphium,caliginis,NA,Argyroxiphium_caliginis,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Argyroxiphium_caliginis
Hawaii,Asteroideae,Madieae,Argyroxiphium,grayanum,NA,Argyroxiphium_grayanum,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,"Argyroxiphium_grayanum_West_Maui, Argyroxiphium_grayanum_East_Maui"
Hawaii,Asteroideae,Madieae,Argyroxiphium,kauense,NA,Argyroxiphium_kauense,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Argyroxiphium_kauense
Hawaii,Asteroideae,Madieae,Argyroxiphium,sandwicense,subsp. macrocephalum,Argyroxiphium_sandwicense_macrocephalum,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Argyroxiphium_sandwicense_subsp._macrocephalum
Hawaii,Asteroideae,Madieae,Argyroxiphium,sandwicense,subsp. sandwicense,Argyroxiphium_sandwicense_sandwicense,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Argyroxiphium_sandwicense_subsp._sandwicense
Hawaii,Asteroideae,Madieae,Argyroxiphium,virescens,NA,Argyroxiphium_virescens,Native,Endemic,Extinct,Yes_clade,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,arborea,NA,Dubautia_arborea,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_arborea
Hawaii,Asteroideae,Madieae,Dubautia,carrii,NA,Dubautia_carrii,Native,Endemic,Extant,Yes_clade,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,ciliolata,subsp. ciliolata,Dubautia_ciliolata_ciliolata,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_ciliolata_subsp._ciliolata
Hawaii,Asteroideae,Madieae,Dubautia,ciliolata,subsp. glutinosa,Dubautia_ciliolata_glutinosa,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_ciliolata_subsp._glutinosa
Hawaii,Asteroideae,Madieae,Dubautia,hanaulaensis,NA,Dubautia_hanaulaensis,Native,Endemic,Extant,Yes_clade,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,herbstobatae,NA,Dubautia_herbstobatae,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_herbstobatae
Hawaii,Asteroideae,Madieae,Dubautia,imbricata,subsp. acronaea,Dubautia_imbricata_acronaea,Native,Endemic,Extant,Yes_clade,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,imbricata,subsp. imbricata,Dubautia_imbricata_imbricata,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_imbricata
Hawaii,Asteroideae,Madieae,Dubautia,kalalauensis,NA,Dubautia_kalalauensis,Native,Endemic,Extant,Yes_clade,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,kenwoodii,NA,Dubautia_kenwoodii,Native,Endemic,Extinct,Yes_clade,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,knudsenii,subsp. filiformis,Dubautia_knudsenii_filiformis,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_knudsenii_subsp._filiformis
Hawaii,Asteroideae,Madieae,Dubautia,knudsenii,subsp. knudsenii,Dubautia_knudsenii_knudsenii,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_knudsenii_subsp._knudsenii
Hawaii,Asteroideae,Madieae,Dubautia,knudsenii,subsp. nagatae,Dubautia_knudsenii_nagatae,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_knudsenii_subsp._nagatae
Hawaii,Asteroideae,Madieae,Dubautia,laevigata,NA,Dubautia_laevigata,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_laevigata
Hawaii,Asteroideae,Madieae,Dubautia,latifolia,NA,Dubautia_latifolia,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_latifolia
Hawaii,Asteroideae,Madieae,Dubautia,laxa,subsp. bryanii,Dubautia_laxa_bryanii,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,laxa,subsp. hirsuta,Dubautia_laxa_hirsuta,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_laxa_subsp._hirsuta
Hawaii,Asteroideae,Madieae,Dubautia,laxa,subsp. laxa,Dubautia_laxa_laxa,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_laxa_subsp._laxa
Hawaii,Asteroideae,Madieae,Dubautia,laxa,subsp. pseudoplantaginea,Dubautia_laxa_pseudoplantaginea,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Madieae,Dubautia,linearis,subsp. hillebrandii,Dubautia_linearis_hillebrandii,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_linearis_subsp._hillebrandii
Hawaii,Asteroideae,Madieae,Dubautia,linearis,subsp. linearis,Dubautia_linearis_linearis,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_linearis_subsp._linearis
Hawaii,Asteroideae,Madieae,Dubautia,menziesii,NA,Dubautia_menziesii,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_menziesii
Hawaii,Asteroideae,Madieae,Dubautia,microcephala,NA,Dubautia_microcephala,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_microcephala
Hawaii,Asteroideae,Madieae,Dubautia,paleata,NA,Dubautia_paleata,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_paleata
Hawaii,Asteroideae,Madieae,Dubautia,pauciflorula,NA,Dubautia_pauciflorula,Native,Endemic,Extant,Yes_species,Dated,Silversword_alliance,Endemic,TRUE,Dubautia_pauciflorula
